p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
13,192,192,192,512,512,768,-0.12787069715104088,1240.7980518341064
28,192,128,0,768,384,192,-0.08173139793383026,2977.8048605918884
10,256,64,128 ,128,384,768,-0.12614476373085753,4282.874271392822
60,0,0,0,384,384,384,-0.04685157421289355,7213.456166028976
40,64,128,64,512,384,768,-0.059896738023647235,9531.757598161697
36,128,256,128 ,384,128,192,-0.06650528051927322,11642.052883148193
12,64,128,64,128,192,512,-0.12862067191439008,12929.270198345184
13,256,0,64,256,384,768,-0.1275900785954884,14233.11901974678
16,192,0,0,128,1024,768,-0.12061562213537896,15549.7598798275
14,256,0,0,256,512,768,-0.12704865963664083,16796.722190380096
6,256,0,0,1024,1024,512,-0.10829073897600276,18414.84011054039
15,128,0,64,768,384,768,-0.12429771789389947,19690.866247415543
19,256,64,64,384,384,768,-0.11196954428395477,20991.914727926254
21,0,256,64,128,256,768,0.0,21609.239550352097
