p0,p1,p2,p3,p4,p5,p6,objective,elapsed_sec
13,192,192,192,512,512,768,-3.068661296509398,482.8160820007324
28,192,128,0,768,384,192,-1.9800999950497502,1208.7351667881012
10,256,64,128 ,128,384,768,-2.3772732675621064,1746.9426066875458
60,0,0,0,384,384,384,-0.9592326139088729,3099.055822134018
40,64,128,64,512,384,768,-1.4220705346985212,4032.2995069026947
36,128,256,128 ,384,128,192,-1.5785942618098585,4903.421697854996
12,64,128,64,128,192,512,-2.984183825723665,5401.401546239853
13,256,0,64,256,384,768,-2.6937840932049295,5920.621525764465
16,192,0,0,128,1024,768,-2.6350461133069825,6432.004671096802
7,64,128,0,384,256,384,-3.103662321539417,6914.767469882965
9,64,0,64,384,128,1024,-3.1441597233139444,7394.560458660126
20,64,0,256,512,1024,1024,-2.472187886279357,7974.764183998108
16,64,0,64,384,768,512,-2.874389192296637,8478.627132177353
1,64,128,64,384,768,512,-1.2518778167250877,9496.088023900986
9,64,128,64,384,1024,192,-3.081664098613251,9983.118919849396
2,64,128,0,384,768,192,-2.081165452653486,10637.035941123962
15,64,0,64,384,256,256,-2.912267928649436,11130.212346792221
9,0,256,64,384,256,1024,-3.1710797526557792,11601.97537946701
10,0,128,64,384,256,256,-3.1625553447185326,12064.0514190197
9,192,64,64,384,256,128,-3.025032140966498,12555.152829647064
7,128,192,64,384,256,256,-3.024345985180705,13050.255178451538
1,256,64,64,384,256,384,-1.1865563169291922,14086.807727336884
5,128,256,64,384,256,384,-2.914177473408131,14584.273249864578
7,256,192,64,384,256,512,-2.7536830510808206,15080.627596616745
9,192,128,64,384,256,512,-3.080714725816389,15557.76989531517
5,0,128,64,256,256,256,-2.9012838180895044,16063.49100804329
11,192,128,64,384,192,384,-3.055300947143294,16536.81926059723
10,128,128,64,384,192,384,-3.145395926712275,17017.28827214241
9,0,192,64,384,192,128,-3.074794373126297,17504.789638519287
10,0,256,64,384,192,192,-3.1159928332164837,17985.389973163605
11,0,128,64,384,768,1024,-3.208470361755033,18441.98901772499
10,0,128,256,384,128,1024,-3.0478512648582745,18949.67508125305
11,0,128,64,384,384,384,-3.1545741324921135,19455.707312345505
11,0,128,64,384,1024,512,-3.189029737702304,19924.81838130951
10,0,128,0,384,1024,512,-3.19514338205927,20391.955667734146
11,0,128,0,384,192,192,-3.103421522228257,20872.995458841324
6,0,128,128 ,384,128,1024,-3.1259768677711786,21384.704142808914
8,0,128,128 ,384,768,128,0.0,21594.25539469719
