p0,p1,p2,p3,p4,objective,elapsed_sec
3,1127696,23215,3236, -Dqueueless=off ,-442505.0,15487.471522808075
3,1428641,21515,19191, -Dqueueless=off ,-440262.0,15654.015088558197
3,1391995,24843,18740, -Dqueueless=off ,-441615.0,15830.50815153122
3,1340537,24475,11798, -Dqueueless=off ,-442690.0,16023.571911334991
3,1005175,20651,16638, -Dqueueless=off ,-444372.0,16208.024356603622
3,1216233,22056,11143, -Dqueueless=off ,-436133.0,16391.071893930435
3,1005392,26313,10393, -Dqueueless=off ,-437378.0,16563.71405696869
3,1038262,20602,10346, -Dqueueless=off ,-438523.0,16741.749923467636
3,1170428,39432,27658, -Dqueueless=off ,-428976.0,16937.026518583298
4,1843532,20935,2879, -Dqueueless=off ,-432868.0,17119.127762794495
3,2080711,20274,1911, -Dqueueless=off ,-436799.0,17294.9233314991
4,2082429,37395,44870, -Dqueueless=off ,0,17414.87960910797
3,1820012,37175,19042, -Dqueueless=off ,-436371.0,17614.953817129135
3,1507429,38094,59345, -Dqueueless=off ,-434818.0,17789.1823887825
3,1295667,39822,6092, -Dqueueless=off ,-433677.0,17975.350895166397
3,1355409,42765,31752, -Dqueueless=off ,-439433.0,18151.89169239998
3,1246277,40000,28548, -Dqueueless=off ,-435831.0,18323.130980730057
4,1883443,25218,1062, -Dqueueless=off ,-428530.0,18501.953375816345
4,1298278,37433,38538, -Dqueueless=off ,-431579.0,18689.613060235977
3,695437,21687,21010, -Dqueueless=off ,-444269.0,18883.810745239258
3,756654,22086,11701, -Dqueueless=off ,-436628.0,19078.944766044617
3,1357707,41637,806, -Dqueueless=off ,-439507.0,19256.443875074387
4,2074479,29864,23981, -Dqueueless=off ,0,19366.38001179695
4,1733715,33702,428, -Dqueueless=off ,-434666.0,19543.872690200806
4,2063214,33560,81691, -Dqueueless=off ,0,19653.777811288834
4,1831646,34312,48804, -Dqueueless=off ,-434550.0,19835.543132781982
3,2035766,17652,31090, -Dqueueless=off ,-436912.0,20027.217386722565
4,1877728,34101,6447, -Dqueueless=off ,-431215.0,20204.4561047554
3,2040135,8802,71404, -Dqueueless=off ,-433701.0,20391.104547023773
3,2051112,10822,30922, -Dqueueless=off ,-437489.0,20580.52374482155
3,2048596,11281,19837, -Dqueueless=off ,-430178.0,20756.313957452774
4,2032544,25761,29585, -Dqueueless=off ,0,20879.940559625626
3,2014527,3056,22604, -Dqueueless=off ,-448234.0,21073.656415462494
3,2015043,12455,21088, -Dqueueless=off ,-434262.0,21257.171748638153
3,2038637,17791,59834, -Dqueueless=off ,-436048.0,21436.4116024971
3,2017288,41294,30601, -Dqueueless=off ,0,21596.954973697662
