p0,p1,p2,p3,p4,objective,elapsed_sec
4,6493165,25566,95953, -Dqueueless=on ,-2724.05,1508.658462047577
4,6058407,75074,88569, -Dqueueless=on ,-3051.66,1529.1705570220947
4,3579056,6148,89453, -Dqueueless=on ,-2168.13,1544.6509141921997
3,6491051,6635,92947, -Dqueueless=on ,-2464.31,1565.2096991539001
4,6071003,10861,88469, -Dqueueless=on ,-2228.57,1578.829350233078
4,6311080,75309,87922, -Dqueueless=on ,-2695.67,1600.9679412841797
4,6720529,98740,89654, -Dqueueless=on ,-2595.89,1619.0054106712341
4,6675934,24418,89620, -Dqueueless=on ,-2657.74,1645.4568231105804
4,6293898,74816,89319, -Dqueueless=on ,-2568.74,1665.7245712280273
4,5972114,69821,88687, -Dqueueless=on ,-2585.23,1680.3615355491638
4,7187354,78092,89662, -Dqueueless=on ,-2843.29,1697.2093102931976
4,3921954,29901,89648, -Dqueueless=on ,-2713.43,1710.7939157485962
4,6429482,17193,89118, -Dqueueless=on ,-2414.8,1734.073367357254
4,6310298,71458,89435, -Dqueueless=on ,-2562.12,1754.3546090126038
4,6390840,72094,84408, -Dqueueless=on ,-3161.26,1771.2929873466492
4,5982913,73935,84800, -Dqueueless=on ,-2553.29,1789.5086936950684
4,6402901,50076,82815, -Dqueueless=on ,-2214.26,1803.925220966339
4,6390024,71457,93044, -Dqueueless=on ,-2384.61,1821.0258266925812
4,6477601,73862,81786, -Dqueueless=on ,-2549.42,1839.5134315490723
4,5691633,76942,88550, -Dqueueless=on ,-2361.79,1858.1853785514832
4,6013650,91674,88610, -Dqueueless=on ,-2625.49,1878.4499278068542
4,6332056,73624,89141, -Dqueueless=on ,-2475.7,1903.0954759120941
4,6384761,66014,89379, -Dqueueless=on ,-2395.85,1923.63050699234
4,6382558,74177,78210, -Dqueueless=on ,-2972.55,1938.9292817115784
4,6347250,71811,33153, -Dqueueless=on ,-2698.67,1953.1131291389465
4,6375723,74741,31706, -Dqueueless=on ,-2948.54,1970.080039024353
4,6366417,67769,79184, -Dqueueless=on ,-2584.32,1994.1808223724365
2,6393642,76780,72564, -Dqueueless=on ,-2610.67,2007.843719959259
4,6383858,72249,67027, -Dqueueless=on ,-2650.95,2024.3873569965363
4,5959710,79973,88395, -Dqueueless=on ,-2597.31,2039.7531406879425
4,6519315,75004,83761, -Dqueueless=on ,-2787.28,2058.469719648361
4,6085260,76635,80206, -Dqueueless=on ,-2739.46,2074.881361722946
4,7266945,85093,88671, -Dqueueless=on ,-3007.68,2094.5731008052826
4,309721,25931,89699, -Dqueueless=on ,-2820.63,2111.8471274375916
2,6372020,74742,79734, -Dqueueless=on ,-2793.28,2130.46040225029
4,7215536,65580,89082, -Dqueueless=on ,-2479.14,2144.497424840927
2,6357014,71521,87977, -Dqueueless=on ,-2650.37,2163.271752357483
4,7164592,83954,89549, -Dqueueless=on ,-2411.36,2179.8555822372437
4,5246638,74125,80621, -Dqueueless=on ,-2418.28,2205.16744017601
4,7009084,82185,98857, -Dqueueless=on ,-2772.16,2229.3871595859528
4,6779554,76366,88318, -Dqueueless=on ,-2676.98,2253.4569883346558
4,6035607,74777,59515, -Dqueueless=on ,-2534.65,2268.8322830200195
4,6381783,74914,88505, -Dqueueless=on ,-2977.2,2286.8812263011932
2,6361659,45585,89045, -Dqueueless=on ,-2576.6,2311.3878297805786
1,6367883,28277,89674, -Dqueueless=on ,-2380.48,2326.0052926540375
4,6966868,91070,88571, -Dqueueless=on ,-2600.74,2343.3159425258636
1,6639561,17955,89442, -Dqueueless=on ,-2482.59,2360.666698694229
4,6099415,74453,81119, -Dqueueless=on ,-3061.24,2374.64365029335
4,6213899,74847,88772, -Dqueueless=on ,-3000.38,2395.6531171798706
2,6083527,74755,87061, -Dqueueless=on ,-2622.5,2412.6316413879395
4,6424935,32735,89799, -Dqueueless=on ,-2609.39,2426.5326240062714
4,1556316,74584,79783, -Dqueueless=on ,-2820.04,2448.8868629932404
4,6901589,14621,89709, -Dqueueless=on ,-2504.32,2467.8004291057587
1,6468532,7166,89520, -Dqueueless=on ,-2376.75,2486.1530361175537
4,6350829,75134,89340, -Dqueueless=on ,-2395.17,2506.74671792984
4,6075287,73249,80606, -Dqueueless=on ,-3017.86,2523.5458974838257
4,6504844,30821,89519, -Dqueueless=on ,-2445.83,2538.7868144512177
4,6082685,74964,82096, -Dqueueless=on ,-2952.37,2558.1865289211273
4,6311038,72245,83228, -Dqueueless=on ,-2854.41,2583.220245361328
4,6148291,74905,97733, -Dqueueless=on ,-2900.0,2600.4718708992004
4,6243683,72877,83389, -Dqueueless=on ,-2545.62,2625.1821324825287
4,6726318,74191,88711, -Dqueueless=on ,-2462.11,2644.1495640277863
4,2296728,76379,88566, -Dqueueless=on ,-2438.24,2664.9478256702423
4,6261990,56687,88799, -Dqueueless=on ,-2506.81,2677.048249721527
4,780314,12905,89667, -Dqueueless=on ,-2569.47,2695.6394090652466
4,6155251,73381,76301, -Dqueueless=on ,-2235.12,2715.9695847034454
4,6366655,54384,86501, -Dqueueless=on ,-2576.89,2732.343023300171
4,6364758,70665,80184, -Dqueueless=on ,-2970.24,2752.6216645240784
4,6136808,70575,82860, -Dqueueless=on ,-2801.2,2771.047810792923
4,4891697,73814,79934, -Dqueueless=on ,-2860.21,2787.5468380451202
4,5898650,74481,80967, -Dqueueless=on ,-2377.69,2807.2729890346527
4,6226648,73962,80532, -Dqueueless=on ,-2802.4,2825.553421974182
4,6119274,70857,81328, -Dqueueless=on ,-2861.48,2844.706195116043
4,6540860,6555,15288, -Dqueueless=on ,-2814.72,2868.238471508026
4,6379006,72092,88295, -Dqueueless=on ,-2735.41,2892.77387881279
2,6868859,789,89119, -Dqueueless=on ,-1731.66,2908.6133122444153
4,6348115,71066,97172, -Dqueueless=on ,-2550.47,2922.068082332611
4,6094145,74514,6824, -Dqueueless=on ,-2401.39,2944.604110956192
4,6388505,75035,31316, -Dqueueless=on ,-2546.91,2960.9952013492584
4,6220973,80629,88751, -Dqueueless=on ,-2481.46,2977.1187958717346
2,6384344,74393,81123, -Dqueueless=on ,-2741.18,2992.6201651096344
4,6719896,70199,78419, -Dqueueless=on ,-2950.25,3012.304429769516
4,6741030,6581,60030, -Dqueueless=on ,-2855.66,3030.308960914612
1,6106919,74894,80418, -Dqueueless=on ,-2576.83,3041.6646811962128
4,5127444,71603,79488, -Dqueueless=on ,-2773.01,3066.2221987247467
4,6489956,55755,89616, -Dqueueless=on ,-2919.5,3081.2739367485046
4,6988797,6473,65623, -Dqueueless=on ,-2585.1,3108.341556787491
4,6750552,74946,84270, -Dqueueless=on ,-3048.23,3135.3999061584473
4,6429270,70350,85080, -Dqueueless=on ,-2737.45,3152.590422153473
3,6882737,6364,56909, -Dqueueless=on ,-2275.27,3169.82181596756
4,6232663,74718,77950, -Dqueueless=on ,-2968.44,3189.0127148628235
4,6441241,63081,77683, -Dqueueless=on ,-2572.13,3208.4650843143463
4,6374504,70292,80888, -Dqueueless=on ,-2657.47,3225.874502658844
4,6742725,13582,89582, -Dqueueless=on ,-2553.12,3257.221579551697
4,6748253,74816,76755, -Dqueueless=on ,-2756.77,3280.9156579971313
4,6528995,78777,88773, -Dqueueless=on ,-3195.09,3297.5059225559235
4,6580812,79627,85322, -Dqueueless=on ,-2474.5,3321.324586868286
4,6776805,67528,89615, -Dqueueless=on ,-2955.21,3348.2884311676025
4,6130486,74157,84778, -Dqueueless=on ,-2651.62,3373.1571605205536
4,6493240,37080,78813, -Dqueueless=on ,-2966.35,3391.7830691337585
4,7061557,67049,89650, -Dqueueless=on ,-2562.82,3411.8316037654877
4,6546538,68520,89975, -Dqueueless=on ,-2723.99,3429.7019357681274
4,5998040,74968,78011, -Dqueueless=on ,-2900.3,3451.428950548172
4,6786938,11304,83991, -Dqueueless=on ,-2426.81,3471.9008815288544
4,6496909,29306,89502, -Dqueueless=on ,-2503.82,3493.2752776145935
4,6386568,71648,78266, -Dqueueless=on ,-2304.04,3515.236981153488
4,5965074,70164,77873, -Dqueueless=on ,-3022.55,3532.2715396881104
4,6042899,71447,82434, -Dqueueless=on ,-3088.45,3551.6045863628387
1,6020993,72058,78834, -Dqueueless=on ,-2540.23,3567.1355752944946
4,7027655,78800,82353, -Dqueueless=on ,-2862.06,3586.9498631954193
4,6085526,74494,79668, -Dqueueless=on ,-2765.46,3610.5697479248047
4,6489090,29300,79566, -Dqueueless=on ,-2886.15,3636.386845588684
4,6074873,51632,80169, -Dqueueless=on ,-3266.13,3652.5444717407227
4,6070347,16016,80381, -Dqueueless=on ,-2668.86,3668.216064453125
4,5987505,68700,80145, -Dqueueless=on ,-2599.17,3684.3457674980164
4,4055673,57061,77915, -Dqueueless=on ,-2580.32,3702.606870651245
4,6504422,27278,80934, -Dqueueless=on ,-2548.09,3722.3012177944183
4,6901894,71701,84664, -Dqueueless=on ,-3123.88,3741.2846574783325
4,6659717,47026,84664, -Dqueueless=on ,-2377.81,3757.7336761951447
4,6041354,53389,80851, -Dqueueless=on ,-2900.69,3778.1368362903595
4,6045564,74014,81346, -Dqueueless=on ,-2915.2,3795.7117438316345
4,6755742,71405,81916, -Dqueueless=on ,-2390.21,3811.7161519527435
4,7098264,70991,80026, -Dqueueless=on ,-2799.28,3830.647370815277
4,6092381,51363,78914, -Dqueueless=on ,-2433.31,3850.183748960495
4,5983803,86178,84315, -Dqueueless=on ,-2798.04,3865.083042383194
4,6927846,81902,84403, -Dqueueless=on ,-2627.06,3883.134444952011
4,7856372,74762,84476, -Dqueueless=on ,-2600.62,3909.2973325252533
4,6597020,76064,84160, -Dqueueless=on ,-2363.56,3929.6284177303314
4,6842899,73276,89702, -Dqueueless=on ,-2520.01,3943.5309133529663
4,5508191,54492,80189, -Dqueueless=on ,-2463.24,3962.212886571884
4,6022809,68137,77777, -Dqueueless=on ,-2756.96,3981.270649433136
4,6415059,71326,84244, -Dqueueless=on ,-3152.5,3999.9225640296936
4,6849475,72175,82068, -Dqueueless=on ,-2980.46,4018.722074508667
4,6068562,34025,80253, -Dqueueless=on ,-2560.68,4044.3213863372803
4,6062933,69864,78877, -Dqueueless=on ,-2698.91,4062.4231152534485
4,6057693,71303,79713, -Dqueueless=off ,-2585.38,4082.169592857361
4,6572574,84320,88895, -Dqueueless=on ,-2920.65,4102.239871501923
4,6994691,6443,11352, -Dqueueless=on ,-2627.31,4119.174622297287
4,7256773,76858,88632, -Dqueueless=on ,-2709.38,4136.015531778336
4,6697065,73223,84090, -Dqueueless=on ,-2652.38,4156.738883256912
4,7149805,81190,88824, -Dqueueless=on ,-2484.6,4180.607590198517
4,6717292,72320,79081, -Dqueueless=on ,-2695.36,4196.947229385376
4,6792776,51681,80064, -Dqueueless=on ,-2391.72,4213.002784490585
4,6075241,30034,78150, -Dqueueless=on ,-2751.64,4227.946569919586
4,6110847,74110,89605, -Dqueueless=on ,-2671.0,4247.295867204666
4,376391,70305,84388, -Dqueueless=on ,-2528.06,4266.272755861282
4,6514224,49605,78457, -Dqueueless=on ,-2383.59,4290.649642944336
4,7208612,70637,84801, -Dqueueless=on ,-2474.3,4309.63903594017
4,6931818,72202,85665, -Dqueueless=on ,-2769.22,4328.5056047439575
4,6083542,55552,82909, -Dqueueless=on ,-2285.08,4346.199591159821
4,6411577,62874,84670, -Dqueueless=on ,-3047.68,4359.874613285065
4,6078625,65092,84640, -Dqueueless=on ,-2620.84,4377.596990585327
4,6351561,77256,88544, -Dqueueless=on ,-2630.11,4399.423021316528
4,5959319,71906,78686, -Dqueueless=on ,-2692.85,4423.534155845642
4,6401133,71897,80579, -Dqueueless=on ,-2994.3,4440.94300198555
4,6388510,64651,83620, -Dqueueless=on ,-2576.66,4463.111792802811
4,7731450,89568,88677, -Dqueueless=on ,-3049.3,4479.5963797569275
4,6395746,71697,83939, -Dqueueless=on ,-2654.38,4497.04088640213
4,6484021,52803,79910, -Dqueueless=on ,-2838.6,4517.953045129776
4,6590323,70979,84709, -Dqueueless=on ,-2794.97,4535.467562913895
4,6409335,71096,78313, -Dqueueless=on ,-3197.57,4552.804107666016
4,6042002,71958,78030, -Dqueueless=on ,-2868.41,4570.750720977783
4,6448021,13336,79441, -Dqueueless=on ,-2637.91,4592.792112827301
4,7975311,95294,88643, -Dqueueless=on ,-2697.95,4615.07342338562
4,6402877,60035,82235, -Dqueueless=on ,-2985.28,4634.383602619171
4,6411839,71940,38892, -Dqueueless=on ,-2626.73,4653.112720012665
4,6966018,73979,84233, -Dqueueless=on ,-3117.31,4670.183570623398
4,6892648,60548,84737, -Dqueueless=on ,-2624.18,4684.952493906021
4,7228626,72989,84208, -Dqueueless=on ,-2367.32,4699.921265363693
4,6402946,77227,81610, -Dqueueless=on ,-2400.81,4717.116179943085
4,6841981,70828,84231, -Dqueueless=on ,-3032.72,4736.195483207703
4,7013726,70479,77515, -Dqueueless=on ,-3211.93,4756.072124481201
1,6531595,70415,77781, -Dqueueless=on ,-2570.71,4774.470093727112
2,7816202,86561,88731, -Dqueueless=on ,-2702.05,4797.310750961304
4,6565491,73002,77989, -Dqueueless=off ,-2483.22,4815.541738033295
4,6431179,60991,84725, -Dqueueless=on ,-2977.53,4837.513807296753
4,6983057,58107,78175, -Dqueueless=on ,-2732.15,4857.2410361766815
4,6987896,61821,83333, -Dqueueless=on ,-2830.15,4874.38089299202
4,6347400,71255,77864, -Dqueueless=on ,-2711.46,4897.528352975845
2,6944054,71063,80657, -Dqueueless=on ,-2682.78,4914.508292198181
4,6995825,67758,89477, -Dqueueless=on ,-2768.59,4936.862613201141
4,7097030,71389,77848, -Dqueueless=on ,-2843.96,4960.640065908432
4,7710620,78657,88772, -Dqueueless=on ,-2888.3,4978.939830064774
4,6520137,63526,82607, -Dqueueless=on ,-2803.75,4996.531716585159
4,2865319,6330,1096, -Dqueueless=on ,-2875.2,5016.94152545929
4,6398185,57540,79885, -Dqueueless=on ,-2902.79,5032.15419960022
4,2525322,6266,43476, -Dqueueless=on ,-2093.24,5049.740996599197
3,7539526,87892,88791, -Dqueueless=on ,-2920.89,5070.175786495209
3,6589812,71647,84624, -Dqueueless=on ,-2420.61,5092.893682479858
4,7707480,78462,88658, -Dqueueless=on ,-3176.26,5116.996991157532
4,6893220,68469,84514, -Dqueueless=on ,-2664.17,5135.623195886612
4,6089968,55561,82007, -Dqueueless=on ,-2703.51,5150.640518426895
4,6397895,68218,79855, -Dqueueless=on ,-2357.03,5170.07167673111
4,1174829,6342,8731, -Dqueueless=on ,-2564.77,5186.927491188049
4,7799886,85166,83399, -Dqueueless=on ,-2709.68,5211.465624094009
4,6960188,69409,84689, -Dqueueless=on ,-2495.71,5227.510861158371
4,6414100,59736,82045, -Dqueueless=on ,-2653.79,5249.748018980026
4,6494561,70964,81949, -Dqueueless=on ,-2628.48,5276.900561571121
4,7304717,71185,78633, -Dqueueless=on ,-2909.0,5297.748438119888
4,5956709,74797,89636, -Dqueueless=on ,-2869.77,5313.8353843688965
4,6402496,57842,77682, -Dqueueless=on ,-2769.34,5334.387237548828
4,5974264,74970,86760, -Dqueueless=on ,-3251.83,5349.593668460846
4,2573999,6303,30598, -Dqueueless=on ,-2230.85,5362.753465652466
4,6574697,61596,89039, -Dqueueless=on ,-2960.97,5381.241058111191
4,7602680,85256,84259, -Dqueueless=on ,-2619.61,5399.261926174164
4,6479808,35096,80166, -Dqueueless=on ,-2579.52,5413.963934183121
4,6477611,74960,87976, -Dqueueless=on ,-2665.87,5442.8264582157135
4,6663337,60223,84631, -Dqueueless=on ,-2631.98,5463.049803495407
4,7414051,74965,89122, -Dqueueless=on ,-2672.35,5486.118820905685
4,3692472,74936,85812, -Dqueueless=on ,-2581.78,5505.1739230155945
4,7534746,77945,88916, -Dqueueless=on ,-2907.04,5525.222613334656
4,6409832,61720,89407, -Dqueueless=on ,-2889.96,5541.858961820602
4,6983633,74697,84741, -Dqueueless=on ,-2607.73,5564.759583950043
4,5989405,72095,84124, -Dqueueless=on ,-3054.57,5580.655129909515
4,6011475,77996,80969, -Dqueueless=on ,-2652.76,5594.967036008835
4,6421249,58563,83264, -Dqueueless=on ,-2328.54,5621.876718521118
4,5988405,70375,77448, -Dqueueless=on ,-2676.76,5639.314848899841
4,6041063,70438,88664, -Dqueueless=on ,-2663.73,5656.135885715485
4,6930325,71589,81042, -Dqueueless=on ,-2973.72,5676.244129180908
4,6411025,62482,90588, -Dqueueless=on ,-1959.93,5691.863761425018
4,6376033,72482,82209, -Dqueueless=on ,-3138.1,5709.982050895691
4,6658750,71917,88690, -Dqueueless=on ,-2745.12,5728.771728038788
4,6047915,63646,89155, -Dqueueless=on ,-2557.02,5755.347203731537
4,7588484,79589,88978, -Dqueueless=on ,-2367.39,5774.3990268707275
4,7720142,77724,89415, -Dqueueless=on ,-3082.75,5790.223070144653
4,7133039,71417,81961, -Dqueueless=on ,-2779.65,5807.452609539032
4,7696339,79405,89351, -Dqueueless=on ,-2923.68,5822.8510863780975
4,7891909,78487,77714, -Dqueueless=on ,-2836.56,5840.494477033615
4,7082748,78752,88783, -Dqueueless=on ,-2908.05,5860.203900337219
4,5954068,78241,87739, -Dqueueless=on ,-2944.88,5875.511879444122
4,7074530,76475,88730, -Dqueueless=on ,-2638.34,5890.166224241257
4,5951802,71963,79183, -Dqueueless=on ,-3009.31,5906.139452219009
4,6105943,73695,88856, -Dqueueless=on ,-2474.69,5923.990709066391
4,7369682,75125,91352, -Dqueueless=on ,-2471.06,5943.498669624329
4,6423499,62145,79487, -Dqueueless=on ,-2709.63,5960.68646812439
4,4972469,75088,86163, -Dqueueless=on ,-2769.02,5982.586774349213
4,6079853,73301,78905, -Dqueueless=on ,-2815.48,6003.5707924366
4,6961857,71101,82614, -Dqueueless=on ,-2570.02,6017.353094339371
4,7765379,86944,89471, -Dqueueless=on ,-2747.08,6030.165328025818
4,6705337,70616,81075, -Dqueueless=on ,-3146.16,6045.6726405620575
4,6361814,50922,89657, -Dqueueless=on ,-3055.03,6060.318861722946
4,7725186,81757,88521, -Dqueueless=on ,-2808.83,6077.582133054733
4,3301634,70694,82277, -Dqueueless=on ,-2756.51,6094.315299272537
4,7959111,78426,89291, -Dqueueless=on ,-3197.03,6111.447210073471
4,7910980,59993,89504, -Dqueueless=on ,-3263.31,6127.143926620483
4,7938597,63526,99702, -Dqueueless=on ,-2707.34,6140.014655590057
4,7946498,71550,91834, -Dqueueless=on ,-2571.22,6158.71688246727
4,5214700,70600,81554, -Dqueueless=on ,-2860.49,6174.376898288727
4,6612928,60537,89213, -Dqueueless=on ,-2657.6,6194.756399154663
4,7834573,79774,88814, -Dqueueless=on ,-2477.39,6209.3690097332
4,7693670,74864,88969, -Dqueueless=on ,-2944.62,6226.344345808029
4,7998505,63263,83139, -Dqueueless=on ,-3020.76,6240.596323728561
4,6986359,70357,77702, -Dqueueless=on ,-2526.18,6257.620082855225
4,7911912,9892,89576, -Dqueueless=on ,-2537.64,6274.3851861953735
4,7948914,74971,83802, -Dqueueless=on ,-3276.33,6289.469941616058
1,7998099,60887,79946, -Dqueueless=on ,-2437.28,6303.760001659393
4,7974260,73055,20441, -Dqueueless=on ,-3033.31,6316.585928916931
4,7992860,61199,77095, -Dqueueless=on ,-2974.11,6333.728925704956
4,7953594,79235,11204, -Dqueueless=on ,-2751.22,6356.376893281937
4,7971334,60610,89528, -Dqueueless=off ,-2372.62,6381.952010631561
4,7972189,63154,69721, -Dqueueless=on ,-2636.28,6401.474499940872
4,7973520,71762,56378, -Dqueueless=on ,-2536.25,6419.936369180679
4,7970243,75431,80502, -Dqueueless=on ,-2722.56,6437.550305604935
4,6570004,70865,79348, -Dqueueless=on ,-3045.34,6467.650484323502
4,6378043,70921,79601, -Dqueueless=on ,-3202.96,6480.967223167419
4,6651460,70489,76993, -Dqueueless=on ,-2625.4,6494.610829591751
4,7898743,78460,86161, -Dqueueless=on ,-2764.18,6512.118163108826
4,7971853,66148,87138, -Dqueueless=on ,-3029.88,6530.259189128876
